tanggal;pm10;so2;co;o3;no2;max;critical;categori
01/01/2010;60.0;4.0;73.0;27.0;14.0;73.0;CO;SEDANG
02/01/2010;32.0;2.0;16.0;33.0;9.0;33.0;O3;BAIK
03/01/2010;27.0;2.0;19.0;20.0;9.0;27.0;PM10;BAIK
04/01/2010;22.0;2.0;16.0;15.0;6.0;22.0;PM10;BAIK
05/01/2010;25.0;2.0;17.0;15.0;8.0;25.0;PM10;BAIK
06/01/2010;30.0;3.0;22.0;19.0;11.0;30.0;PM10;BAIK
07/01/2010;41.0;4.0;24.0;27.0;13.0;41.0;PM10;BAIK
08/01/2010;64.0;8.0;51.0;19.0;15.0;64.0;PM10;SEDANG
09/01/2010;55.0;5.0;39.0;23.0;16.0;55.0;PM10;SEDANG
10/01/2010;34.0;5.0;23.0;26.0;12.0;34.0;PM10;BAIK
11/01/2010;55.0;10.0;32.0;23.0;16.0;55.0;PM10;SEDANG
12/01/2010;45.0;4.0;33.0;9.0;17.0;45.0;PM10;BAIK
13/01/2010;28.0;5.0;29.0;10.0;12.0;29.0;CO;BAIK
14/01/2010;38.0;6.0;28.0;15.0;10.0;38.0;PM10;BAIK
15/01/2010;35.0;5.0;33.0;17.0;17.0;35.0;PM10;BAIK
16/01/2010;54.0;5.0;38.0;17.0;18.0;54.0;PM10;SEDANG
17/01/2010;44.0;4.0;28.0;22.0;14.0;44.0;PM10;BAIK
18/01/2010;38.0;4.0;29.0;24.0;15.0;38.0;PM10;BAIK
19/01/2010;40.0;3.0;43.0;23.0;23.0;43.0;CO;BAIK
20/01/2010;61.0;5.0;63.0;16.0;17.0;63.0;CO;SEDANG
21/01/2010;36.0;4.0;27.0;23.0;13.0;36.0;PM10;BAIK
22/01/2010;51.0;4.0;45.0;14.0;13.0;51.0;PM10;SEDANG
23/01/2010;35.0;3.0;30.0;20.0;14.0;35.0;PM10;BAIK
24/01/2010;56.0;6.0;46.0;30.0;14.0;56.0;PM10;SEDANG
25/01/2010;59.0;4.0;38.0;18.0;15.0;59.0;PM10;SEDANG
26/01/2010;43.0;5.0;42.0;19.0;24.0;43.0;PM10;BAIK
27/01/2010;54.0;8.0;38.0;40.0;16.0;54.0;PM10;SEDANG
28/01/2010;72.0;8.0;55.0;20.0;17.0;72.0;PM10;SEDANG
29/01/2010;51.0;8.0;24.0;19.0;11.0;51.0;PM10;SEDANG
30/01/2010;47.0;8.0;32.0;19.0;12.0;47.0;PM10;BAIK
31/01/2010;32.0;5.0;25.0;26.0;10.0;32.0;PM10;BAIK
01/02/2010;41.0;7.0;30.0;17.0;13.0;41.0;PM10;BAIK
02/02/2010;50.0;4.0;30.0;23.0;12.0;50.0;PM10;BAIK
03/02/2010;49.0;7.0;33.0;57.0;23.0;57.0;O3;SEDANG
04/02/2010;59.0;9.0;38.0;75.0;26.0;75.0;O3;SEDANG
05/02/2010;63.0;7.0;39.0;41.0;23.0;63.0;PM10;SEDANG
06/02/2010;65.0;8.0;59.0;24.0;15.0;65.0;PM10;SEDANG
07/02/2010;60.0;10.0;45.0;47.0;17.0;60.0;PM10;SEDANG
08/02/2010;46.0;5.0;31.0;42.0;17.0;46.0;PM10;BAIK
09/02/2010;52.0;7.0;30.0;34.0;16.0;52.0;PM10;SEDANG
10/02/2010;50.0;8.0;31.0;39.0;14.0;50.0;PM10;BAIK
11/02/2010;47.0;5.0;27.0;26.0;14.0;47.0;PM10;BAIK
12/02/2010;56.0;6.0;33.0;45.0;20.0;56.0;PM10;SEDANG
13/02/2010;55.0;6.0;39.0;14.0;14.0;55.0;PM10;SEDANG
14/02/2010;55.0;6.0;61.0;16.0;13.0;61.0;CO;SEDANG
15/02/2010;40.0;4.0;30.0;63.0;22.0;63.0;O3;SEDANG
16/02/2010;56.0;4.0;43.0;25.0;20.0;56.0;PM10;SEDANG
17/02/2010;52.0;4.0;34.0;30.0;17.0;52.0;PM10;SEDANG
18/02/2010;41.0;5.0;26.0;14.0;10.0;41.0;PM10;BAIK
19/02/2010;37.0;4.0;43.0;17.0;17.0;43.0;CO;BAIK
20/02/2010;52.0;3.0;64.0;18.0;12.0;64.0;CO;SEDANG
21/02/2010;61.0;4.0;53.0;36.0;15.0;61.0;PM10;SEDANG
22/02/2010;34.0;4.0;31.0;23.0;16.0;34.0;PM10;BAIK
23/02/2010;57.0;7.0;35.0;42.0;18.0;57.0;PM10;SEDANG
24/02/2010;59.0;4.0;44.0;93.0;24.0;93.0;O3;SEDANG
25/02/2010;65.0;6.0;55.0;26.0;26.0;65.0;PM10;SEDANG
26/02/2010;68.0;9.0;67.0;67.0;22.0;68.0;PM10;SEDANG
27/02/2010;67.0;8.0;47.0;47.0;19.0;67.0;PM10;SEDANG
28/02/2010;65.0;6.0;38.0;80.0;23.0;80.0;O3;SEDANG
01/03/2010;60.0;5.0;39.0;44.0;19.0;60.0;PM10;SEDANG
02/03/2010;74.0;8.0;56.0;68.0;27.0;74.0;PM10;SEDANG
03/03/2010;54.0;12.0;35.0;77.0;25.0;77.0;O3;SEDANG
04/03/2010;59.0;9.0;32.0;62.0;20.0;62.0;O3;SEDANG
05/03/2010;62.0;11.0;35.0;31.0;19.0;62.0;PM10;SEDANG
06/03/2010;72.0;10.0;54.0;43.0;23.0;72.0;PM10;SEDANG
07/03/2010;59.0;7.0;46.0;57.0;19.0;59.0;PM10;SEDANG
08/03/2010;56.0;7.0;37.0;39.0;18.0;56.0;PM10;SEDANG
09/03/2010;45.0;5.0;33.0;27.0;15.0;45.0;PM10;BAIK
10/03/2010;44.0;8.0;37.0;41.0;19.0;44.0;PM10;BAIK
11/03/2010;51.0;6.0;37.0;18.0;14.0;51.0;PM10;SEDANG
12/03/2010;43.0;6.0;42.0;39.0;20.0;43.0;PM10;BAIK
13/03/2010;74.0;9.0;46.0;64.0;16.0;74.0;PM10;SEDANG
14/03/2010;61.0;9.0;27.0;27.0;13.0;61.0;PM10;SEDANG
15/03/2010;52.0;8.0;28.0;30.0;15.0;52.0;PM10;SEDANG
16/03/2010;40.0;5.0;25.0;45.0;13.0;45.0;O3;BAIK
17/03/2010;50.0;8.0;30.0;25.0;15.0;50.0;PM10;BAIK
18/03/2010;58.0;10.0;33.0;23.0;15.0;58.0;PM10;SEDANG
19/03/2010;63.0;10.0;44.0;36.0;18.0;63.0;PM10;SEDANG
20/03/2010;54.0;11.0;29.0;66.0;19.0;66.0;O3;SEDANG
21/03/2010;52.0;7.0;33.0;31.0;16.0;52.0;PM10;SEDANG
22/03/2010;37.0;5.0;22.0;15.0;10.0;37.0;PM10;BAIK
23/03/2010;52.0;9.0;44.0;42.0;29.0;52.0;PM10;SEDANG
24/03/2010;;7.0;41.0;99.0;29.0;99.0;O3;SEDANG
25/03/2010;55.0;9.0;33.0;46.0;20.0;55.0;PM10;SEDANG
26/03/2010;48.0;4.0;45.0;57.0;29.0;57.0;O3;SEDANG
27/03/2010;61.0;18.0;41.0;59.0;16.0;61.0;PM10;SEDANG
28/03/2010;56.0;4.0;44.0;45.0;13.0;56.0;PM10;SEDANG
29/03/2010;50.0;2.0;34.0;27.0;25.0;50.0;PM10;BAIK
30/03/2010;44.0;6.0;33.0;;12.0;44.0;PM10;BAIK
31/03/2010;58.0;5.0;57.0;;14.0;58.0;PM10;SEDANG
01/04/2010;59.0;5.0;46.0;;21.0;59.0;PM10;SEDANG
02/04/2010;57.0;4.0;31.0;88.0;18.0;88.0;O3;SEDANG
03/04/2010;37.0;4.0;18.0;;10.0;37.0;PM10;BAIK
04/04/2010;39.0;;29.0;;10.0;39.0;PM10;BAIK
05/04/2010;63.0;7.0;50.0;;22.0;63.0;PM10;SEDANG
06/04/2010;70.0;9.0;52.0;;27.0;70.0;PM10;SEDANG
07/04/2010;70.0;14.0;42.0;62.0;25.0;70.0;PM10;SEDANG
08/04/2010;65.0;15.0;54.0;102.0;27.0;102.0;O3;TIDAK SEHAT
09/04/2010;59.0;12.0;46.0;27.0;15.0;59.0;PM10;SEDANG
10/04/2010;40.0;10.0;33.0;33.0;12.0;40.0;PM10;BAIK
11/04/2010;45.0;10.0;31.0;21.0;11.0;45.0;PM10;BAIK
12/04/2010;66.0;19.0;39.0;80.0;25.0;80.0;O3;SEDANG
13/04/2010;57.0;17.0;34.0;80.0;24.0;80.0;O3;SEDANG
14/04/2010;70.0;16.0;40.0;59.0;21.0;70.0;PM10;SEDANG
15/04/2010;70.0;13.0;57.0;41.0;19.0;70.0;PM10;SEDANG
16/04/2010;38.0;11.0;30.0;42.0;13.0;42.0;O3;BAIK
17/04/2010;38.0;10.0;26.0;28.0;12.0;38.0;PM10;BAIK
18/04/2010;36.0;9.0;22.0;27.0;10.0;36.0;PM10;BAIK
19/04/2010;36.0;;24.0;20.0;10.0;36.0;PM10;BAIK
20/04/2010;39.0;;27.0;24.0;12.0;39.0;PM10;BAIK
21/04/2010;41.0;;23.0;30.0;12.0;41.0;PM10;BAIK
22/04/2010;37.0;;34.0;25.0;14.0;37.0;PM10;BAIK
23/04/2010;29.0;;22.0;23.0;12.0;29.0;PM10;BAIK
24/04/2010;31.0;;28.0;36.0;12.0;36.0;O3;BAIK
25/04/2010;50.0;;26.0;55.0;29.0;55.0;O3;SEDANG
26/04/2010;58.0;;31.0;67.0;29.0;67.0;O3;SEDANG
27/04/2010;67.0;;30.0;52.0;18.0;67.0;PM10;SEDANG
28/04/2010;56.0;;26.0;30.0;15.0;56.0;PM10;SEDANG
29/04/2010;61.0;;34.0;61.0;26.0;61.0;PM10;SEDANG
30/04/2010;76.0;;42.0;42.0;24.0;76.0;PM10;SEDANG
01/05/2010;60.0;;24.0;28.0;10.0;60.0;PM10;SEDANG
02/05/2010;58.0;16.0;19.0;31.0;13.0;58.0;PM10;SEDANG
03/05/2010;60.0;16.0;29.0;73.0;18.0;73.0;O3;SEDANG
04/05/2010;53.0;13.0;27.0;31.0;16.0;53.0;PM10;SEDANG
05/05/2010;53.0;16.0;26.0;35.0;15.0;53.0;PM10;SEDANG
06/05/2010;53.0;19.0;25.0;21.0;11.0;53.0;PM10;SEDANG
07/05/2010;67.0;19.0;33.0;33.0;16.0;67.0;PM10;SEDANG
08/05/2010;57.0;16.0;24.0;26.0;9.0;57.0;PM10;SEDANG
09/05/2010;;16.0;28.0;51.0;16.0;51.0;O3;SEDANG
10/05/2010;;14.0;43.0;75.0;26.0;75.0;O3;SEDANG
11/05/2010;;14.0;42.0;60.0;24.0;60.0;O3;SEDANG
12/05/2010;61.0;12.0;50.0;32.0;19.0;61.0;PM10;SEDANG
13/05/2010;52.0;15.0;40.0;65.0;21.0;65.0;O3;SEDANG
14/05/2010;59.0;12.0;46.0;69.0;26.0;69.0;O3;SEDANG
15/05/2010;52.0;14.0;45.0;92.0;26.0;92.0;O3;SEDANG
16/05/2010;56.0;12.0;29.0;65.0;15.0;65.0;O3;SEDANG
17/05/2010;55.0;15.0;55.0;32.0;16.0;55.0;PM10;SEDANG
18/05/2010;57.0;17.0;45.0;50.0;25.0;57.0;PM10;SEDANG
19/05/2010;69.0;14.0;39.0;79.0;18.0;79.0;O3;SEDANG
20/05/2010;58.0;14.0;38.0;57.0;21.0;58.0;PM10;SEDANG
21/05/2010;53.0;14.0;37.0;60.0;18.0;60.0;O3;SEDANG
22/05/2010;63.0;16.0;50.0;54.0;21.0;63.0;PM10;SEDANG
23/05/2010;57.0;14.0;28.0;50.0;23.0;57.0;PM10;SEDANG
24/05/2010;54.0;15.0;37.0;42.0;21.0;54.0;PM10;SEDANG
25/05/2010;56.0;18.0;34.0;43.0;18.0;56.0;PM10;SEDANG
26/05/2010;55.0;15.0;41.0;123.0;34.0;123.0;O3;TIDAK SEHAT
27/05/2010;58.0;17.0;50.0;113.0;29.0;113.0;O3;TIDAK SEHAT
28/05/2010;68.0;21.0;49.0;24.0;25.0;68.0;PM10;SEDANG
29/05/2010;54.0;16.0;30.0;28.0;14.0;54.0;PM10;SEDANG
30/05/2010;59.0;14.0;41.0;64.0;16.0;64.0;O3;SEDANG
31/05/2010;56.0;16.0;33.0;25.0;15.0;56.0;PM10;SEDANG
01/06/2010;55.0;20.0;35.0;31.0;20.0;55.0;PM10;SEDANG
02/06/2010;58.0;14.0;42.0;93.0;26.0;93.0;O3;SEDANG
03/06/2010;72.0;19.0;38.0;55.0;22.0;72.0;PM10;SEDANG
04/06/2010;59.0;18.0;36.0;30.0;19.0;59.0;PM10;SEDANG
05/06/2010;57.0;15.0;39.0;87.0;21.0;87.0;O3;SEDANG
06/06/2010;59.0;18.0;47.0;42.0;25.0;59.0;PM10;SEDANG
07/06/2010;70.0;16.0;39.0;52.0;21.0;70.0;PM10;SEDANG
08/06/2010;77.0;19.0;95.0;18.0;30.0;95.0;CO;SEDANG
09/06/2010;54.0;20.0;36.0;45.0;25.0;54.0;PM10;SEDANG
10/06/2010;79.0;23.0;46.0;34.0;24.0;79.0;PM10;SEDANG
11/06/2010;60.0;21.0;33.0;27.0;14.0;60.0;PM10;SEDANG
12/06/2010;64.0;20.0;39.0;23.0;13.0;64.0;PM10;SEDANG
13/06/2010;59.0;15.0;64.0;29.0;15.0;64.0;CO;SEDANG
14/06/2010;55.0;22.0;31.0;29.0;14.0;55.0;PM10;SEDANG
15/06/2010;57.0;20.0;34.0;31.0;20.0;57.0;PM10;SEDANG
16/06/2010;55.0;17.0;71.0;27.0;38.0;71.0;CO;SEDANG
17/06/2010;75.0;21.0;71.0;30.0;29.0;75.0;PM10;SEDANG
18/06/2010;74.0;21.0;50.0;74.0;29.0;74.0;PM10;SEDANG
19/06/2010;59.0;14.0;37.0;71.0;26.0;71.0;O3;SEDANG
20/06/2010;49.0;15.0;23.0;28.0;9.0;49.0;PM10;BAIK
21/06/2010;51.0;18.0;31.0;28.0;13.0;51.0;PM10;SEDANG
22/06/2010;58.0;17.0;36.0;41.0;21.0;58.0;PM10;SEDANG
23/06/2010;64.0;17.0;32.0;41.0;23.0;64.0;PM10;SEDANG
24/06/2010;;;30.0;;;30.0;CO;BAIK
25/06/2010;;;;;;0.0;;TIDAK ADA DATA
26/06/2010;56.0;19.0;30.0;44.0;22.0;56.0;PM10;SEDANG
27/06/2010;69.0;18.0;46.0;55.0;25.0;69.0;PM10;SEDANG
28/06/2010;60.0;15.0;40.0;36.0;19.0;60.0;PM10;SEDANG
29/06/2010;65.0;17.0;34.0;33.0;14.0;65.0;PM10;SEDANG
30/06/2010;50.0;17.0;29.0;22.0;12.0;50.0;PM10;BAIK
01/07/2010;55.0;21.0;25.0;27.0;12.0;55.0;PM10;SEDANG
02/07/2010;62.0;22.0;37.0;66.0;19.0;66.0;O3;SEDANG
03/07/2010;64.0;15.0;34.0;76.0;20.0;76.0;O3;SEDANG
04/07/2010;56.0;13.0;46.0;51.0;23.0;56.0;PM10;SEDANG
05/07/2010;54.0;21.0;30.0;36.0;14.0;54.0;PM10;SEDANG
06/07/2010;55.0;20.0;34.0;35.0;19.0;55.0;PM10;SEDANG
07/07/2010;63.0;19.0;37.0;37.0;20.0;63.0;PM10;SEDANG
08/07/2010;74.0;18.0;71.0;43.0;22.0;74.0;PM10;SEDANG
09/07/2010;51.0;16.0;34.0;39.0;20.0;51.0;PM10;SEDANG
10/07/2010;55.0;16.0;44.0;34.0;20.0;55.0;PM10;SEDANG
11/07/2010;58.0;17.0;43.0;33.0;18.0;58.0;PM10;SEDANG
12/07/2010;61.0;16.0;43.0;64.0;29.0;64.0;O3;SEDANG
13/07/2010;66.0;15.0;36.0;33.0;21.0;66.0;PM10;SEDANG
14/07/2010;61.0;18.0;37.0;30.0;21.0;61.0;PM10;SEDANG
15/07/2010;63.0;17.0;31.0;31.0;15.0;63.0;PM10;SEDANG
16/07/2010;63.0;17.0;39.0;31.0;21.0;63.0;PM10;SEDANG
17/07/2010;81.0;20.0;41.0;43.0;23.0;81.0;PM10;SEDANG
18/07/2010;61.0;16.0;33.0;45.0;23.0;61.0;PM10;SEDANG
19/07/2010;53.0;14.0;35.0;37.0;21.0;53.0;PM10;SEDANG
20/07/2010;52.0;17.0;40.0;54.0;27.0;54.0;O3;SEDANG
21/07/2010;60.0;17.0;41.0;39.0;22.0;60.0;PM10;SEDANG
22/07/2010;62.0;18.0;39.0;60.0;22.0;62.0;PM10;SEDANG
23/07/2010;65.0;25.0;36.0;46.0;20.0;65.0;PM10;SEDANG
24/07/2010;55.0;17.0;30.0;45.0;17.0;55.0;PM10;SEDANG
25/07/2010;60.0;16.0;27.0;65.0;17.0;65.0;O3;SEDANG
26/07/2010;62.0;17.0;31.0;40.0;16.0;62.0;PM10;SEDANG
27/07/2010;49.0;13.0;31.0;29.0;11.0;49.0;PM10;BAIK
28/07/2010;57.0;22.0;44.0;59.0;24.0;59.0;O3;SEDANG
29/07/2010;63.0;14.0;40.0;38.0;20.0;63.0;PM10;SEDANG
30/07/2010;48.0;15.0;31.0;22.0;10.0;48.0;PM10;BAIK
31/07/2010;50.0;16.0;21.0;25.0;10.0;50.0;PM10;BAIK
01/08/2010;48.0;12.0;19.0;47.0;25.0;48.0;PM10;BAIK
02/08/2010;57.0;15.0;36.0;57.0;29.0;57.0;PM10;SEDANG
03/08/2010;61.0;13.0;31.0;48.0;17.0;61.0;PM10;SEDANG
04/08/2010;;;;;;0.0;;TIDAK ADA DATA
05/08/2010;76.0;16.0;;56.0;26.0;76.0;PM10;SEDANG
06/08/2010;60.0;17.0;38.0;59.0;17.0;60.0;PM10;SEDANG
07/08/2010;61.0;13.0;40.0;80.0;32.0;80.0;O3;SEDANG
08/08/2010;60.0;12.0;42.0;73.0;19.0;73.0;O3;SEDANG
09/08/2010;61.0;16.0;40.0;77.0;26.0;77.0;O3;SEDANG
10/08/2010;63.0;14.0;36.0;35.0;20.0;63.0;PM10;SEDANG
11/08/2010;;15.0;23.0;34.0;10.0;34.0;O3;BAIK
12/08/2010;;14.0;20.0;27.0;7.0;27.0;O3;BAIK
13/08/2010;54.0;16.0;20.0;31.0;9.0;54.0;PM10;SEDANG
14/08/2010;43.0;16.0;33.0;28.0;6.0;43.0;PM10;BAIK
15/08/2010;53.0;15.0;27.0;44.0;11.0;53.0;PM10;SEDANG
16/08/2010;60.0;17.0;34.0;37.0;25.0;60.0;PM10;SEDANG
17/08/2010;54.0;14.0;43.0;46.0;15.0;54.0;PM10;SEDANG
18/08/2010;60.0;15.0;45.0;74.0;29.0;74.0;O3;SEDANG
19/08/2010;39.0;12.0;40.0;34.0;26.0;40.0;CO;BAIK
20/08/2010;44.0;17.0;36.0;29.0;14.0;44.0;PM10;BAIK
21/08/2010;52.0;14.0;45.0;30.0;15.0;52.0;PM10;SEDANG
22/08/2010;48.0;18.0;28.0;71.0;21.0;71.0;O3;SEDANG
23/08/2010;65.0;17.0;34.0;48.0;16.0;65.0;PM10;SEDANG
24/08/2010;51.0;18.0;23.0;43.0;12.0;51.0;PM10;SEDANG
25/08/2010;68.0;18.0;80.0;45.0;17.0;80.0;CO;SEDANG
26/08/2010;45.0;15.0;25.0;33.0;17.0;45.0;PM10;BAIK
27/08/2010;49.0;19.0;33.0;36.0;15.0;49.0;PM10;BAIK
28/08/2010;48.0;17.0;45.0;67.0;20.0;67.0;O3;SEDANG
29/08/2010;59.0;23.0;39.0;70.0;20.0;70.0;O3;SEDANG
30/08/2010;57.0;17.0;22.0;35.0;15.0;57.0;PM10;SEDANG
31/08/2010;52.0;16.0;27.0;35.0;14.0;52.0;PM10;SEDANG
01/09/2010;53.0;16.0;28.0;43.0;16.0;53.0;PM10;SEDANG
02/09/2010;56.0;17.0;35.0;44.0;23.0;56.0;PM10;SEDANG
03/09/2010;53.0;16.0;39.0;52.0;22.0;53.0;PM10;SEDANG
04/09/2010;47.0;19.0;32.0;44.0;21.0;47.0;PM10;BAIK
05/09/2010;48.0;17.0;26.0;54.0;17.0;54.0;O3;SEDANG
06/09/2010;51.0;15.0;35.0;26.0;19.0;51.0;PM10;SEDANG
07/09/2010;56.0;19.0;45.0;30.0;19.0;56.0;PM10;SEDANG
08/09/2010;50.0;16.0;43.0;65.0;21.0;65.0;O3;SEDANG
09/09/2010;38.0;11.0;32.0;29.0;11.0;38.0;PM10;BAIK
10/09/2010;51.0;11.0;45.0;39.0;14.0;51.0;PM10;SEDANG
11/09/2010;37.0;13.0;25.0;55.0;12.0;55.0;O3;SEDANG
12/09/2010;25.0;11.0;18.0;50.0;17.0;50.0;O3;BAIK
13/09/2010;24.0;10.0;18.0;51.0;13.0;51.0;O3;SEDANG
14/09/2010;28.0;12.0;26.0;42.0;11.0;42.0;O3;BAIK
15/09/2010;36.0;13.0;34.0;42.0;22.0;42.0;O3;BAIK
16/09/2010;36.0;12.0;28.0;21.0;14.0;36.0;PM10;BAIK
17/09/2010;31.0;14.0;26.0;49.0;16.0;49.0;O3;BAIK
18/09/2010;51.0;16.0;32.0;50.0;15.0;51.0;PM10;SEDANG
19/09/2010;49.0;14.0;25.0;34.0;11.0;49.0;PM10;BAIK
20/09/2010;37.0;14.0;30.0;39.0;15.0;39.0;O3;BAIK
21/09/2010;41.0;14.0;30.0;30.0;18.0;41.0;PM10;BAIK
22/09/2010;55.0;15.0;64.0;45.0;22.0;64.0;CO;SEDANG
23/09/2010;57.0;20.0;53.0;57.0;25.0;57.0;PM10;SEDANG
24/09/2010;55.0;19.0;49.0;58.0;22.0;58.0;O3;SEDANG
25/09/2010;57.0;21.0;49.0;32.0;22.0;57.0;PM10;SEDANG
26/09/2010;32.0;15.0;20.0;46.0;11.0;46.0;O3;BAIK
27/09/2010;50.0;18.0;36.0;51.0;22.0;51.0;O3;SEDANG
28/09/2010;37.0;16.0;31.0;71.0;21.0;71.0;O3;SEDANG
29/09/2010;62.0;21.0;35.0;78.0;28.0;78.0;O3;SEDANG
30/09/2010;65.0;19.0;36.0;62.0;23.0;65.0;PM10;SEDANG
01/10/2010;54.0;17.0;32.0;100.0;23.0;100.0;O3;SEDANG
02/10/2010;56.0;18.0;41.0;67.0;20.0;67.0;O3;SEDANG
03/10/2010;60.0;16.0;62.0;43.0;19.0;62.0;CO;SEDANG
04/10/2010;39.0;15.0;44.0;51.0;27.0;51.0;O3;SEDANG
05/10/2010;54.0;22.0;39.0;63.0;23.0;63.0;O3;SEDANG
06/10/2010;69.0;27.0;41.0;71.0;24.0;71.0;O3;SEDANG
07/10/2010;50.0;17.0;42.0;80.0;30.0;80.0;O3;SEDANG
08/10/2010;62.0;21.0;36.0;59.0;24.0;62.0;PM10;SEDANG
09/10/2010;53.0;16.0;44.0;62.0;21.0;62.0;O3;SEDANG
10/10/2010;41.0;19.0;23.0;55.0;14.0;55.0;O3;SEDANG
11/10/2010;46.0;21.0;28.0;111.0;24.0;111.0;O3;TIDAK SEHAT
12/10/2010;59.0;25.0;31.0;95.0;26.0;95.0;O3;SEDANG
13/10/2010;52.0;17.0;28.0;56.0;19.0;56.0;O3;SEDANG
14/10/2010;51.0;21.0;32.0;60.0;24.0;60.0;O3;SEDANG
15/10/2010;49.0;15.0;46.0;43.0;23.0;49.0;PM10;BAIK
16/10/2010;48.0;18.0;31.0;40.0;17.0;48.0;PM10;BAIK
17/10/2010;48.0;17.0;25.0;46.0;15.0;48.0;PM10;BAIK
18/10/2010;54.0;16.0;38.0;64.0;18.0;64.0;O3;SEDANG
19/10/2010;47.0;17.0;31.0;69.0;22.0;69.0;O3;SEDANG
20/10/2010;47.0;15.0;35.0;70.0;20.0;70.0;O3;SEDANG
21/10/2010;41.0;17.0;33.0;90.0;21.0;90.0;O3;SEDANG
22/10/2010;48.0;17.0;31.0;75.0;23.0;75.0;O3;SEDANG
23/10/2010;56.0;15.0;59.0;66.0;23.0;66.0;O3;SEDANG
24/10/2010;52.0;15.0;35.0;37.0;17.0;52.0;PM10;SEDANG
25/10/2010;43.0;18.0;38.0;58.0;23.0;58.0;O3;SEDANG
26/10/2010;37.0;15.0;48.0;32.0;18.0;48.0;CO;BAIK
27/10/2010;43.0;17.0;34.0;70.0;21.0;70.0;O3;SEDANG
28/10/2010;40.0;16.0;32.0;69.0;22.0;69.0;O3;SEDANG
29/10/2010;49.0;18.0;32.0;57.0;21.0;57.0;O3;SEDANG
30/10/2010;57.0;19.0;37.0;55.0;19.0;57.0;PM10;SEDANG
31/10/2010;39.0;12.0;30.0;36.0;14.0;39.0;PM10;BAIK
01/11/2010;;;;;;0.0;;TIDAK ADA DATA
02/11/2010;33.0;14.0;18.0;25.0;8.0;33.0;PM10;BAIK
03/11/2010;56.0;18.0;32.0;48.0;18.0;56.0;PM10;SEDANG
04/11/2010;54.0;17.0;47.0;33.0;12.0;54.0;PM10;SEDANG
05/11/2010;31.0;13.0;27.0;26.0;9.0;31.0;PM10;BAIK
06/11/2010;49.0;14.0;30.0;26.0;12.0;49.0;PM10;BAIK
07/11/2010;36.0;13.0;21.0;25.0;11.0;36.0;PM10;BAIK
08/11/2010;22.0;13.0;19.0;23.0;8.0;23.0;O3;BAIK
09/11/2010;32.0;15.0;28.0;43.0;14.0;43.0;O3;BAIK
10/11/2010;56.0;20.0;39.0;54.0;26.0;56.0;PM10;SEDANG
11/11/2010;53.0;20.0;30.0;50.0;20.0;53.0;PM10;SEDANG
12/11/2010;40.0;18.0;23.0;31.0;9.0;40.0;PM10;BAIK
13/11/2010;37.0;16.0;28.0;74.0;18.0;74.0;O3;SEDANG
14/11/2010;54.0;15.0;40.0;54.0;23.0;54.0;PM10;SEDANG
15/11/2010;51.0;19.0;27.0;36.0;16.0;51.0;PM10;SEDANG
16/11/2010;58.0;19.0;34.0;67.0;24.0;67.0;O3;SEDANG
17/11/2010;58.0;17.0;55.0;54.0;17.0;58.0;PM10;SEDANG
18/11/2010;61.0;16.0;32.0;65.0;38.0;65.0;O3;SEDANG
19/11/2010;68.0;20.0;49.0;74.0;21.0;74.0;O3;SEDANG
20/11/2010;64.0;19.0;35.0;70.0;24.0;70.0;O3;SEDANG
21/11/2010;67.0;18.0;34.0;110.0;19.0;110.0;O3;TIDAK SEHAT
22/11/2010;57.0;19.0;38.0;90.0;30.0;90.0;O3;SEDANG
23/11/2010;63.0;18.0;39.0;53.0;24.0;63.0;PM10;SEDANG
24/11/2010;66.0;26.0;39.0;51.0;23.0;66.0;PM10;SEDANG
25/11/2010;52.0;17.0;28.0;77.0;16.0;77.0;O3;SEDANG
26/11/2010;59.0;21.0;35.0;84.0;26.0;84.0;O3;SEDANG
27/11/2010;59.0;17.0;49.0;120.0;21.0;120.0;O3;TIDAK SEHAT
28/11/2010;49.0;17.0;30.0;89.0;20.0;89.0;O3;SEDANG
29/11/2010;56.0;19.0;37.0;93.0;26.0;93.0;O3;SEDANG
30/11/2010;43.0;16.0;32.0;49.0;14.0;49.0;O3;BAIK
01/12/2010;28.0;17.0;26.0;29.0;12.0;29.0;O3;BAIK
02/12/2010;41.0;21.0;30.0;30.0;14.0;41.0;PM10;BAIK
03/12/2010;45.0;31.0;34.0;38.0;14.0;45.0;PM10;BAIK
04/12/2010;49.0;24.0;32.0;29.0;13.0;49.0;PM10;BAIK
05/12/2010;31.0;15.0;34.0;25.0;6.0;34.0;CO;BAIK
06/12/2010;25.0;14.0;24.0;24.0;9.0;25.0;PM10;BAIK
07/12/2010;25.0;14.0;23.0;22.0;6.0;25.0;PM10;BAIK
08/12/2010;25.0;14.0;19.0;20.0;8.0;25.0;PM10;BAIK
09/12/2010;28.0;14.0;23.0;19.0;11.0;28.0;PM10;BAIK
10/12/2010;30.0;16.0;23.0;20.0;8.0;30.0;PM10;BAIK
11/12/2010;25.0;13.0;20.0;21.0;8.0;25.0;PM10;BAIK
12/12/2010;27.0;13.0;19.0;30.0;10.0;30.0;O3;BAIK
13/12/2010;34.0;16.0;22.0;30.0;10.0;34.0;PM10;BAIK
14/12/2010;51.0;20.0;32.0;31.0;17.0;51.0;PM10;SEDANG
