,tanggal,pm10,so2,co,o3,no2,max,critical,categori
74,2010-03-16,40.0,5.0,25.0,45.0,13.0,45.0,O3,BAIK
75,2010-03-17,50.0,8.0,30.0,25.0,15.0,50.0,PM10,BAIK
76,2010-03-18,58.0,10.0,33.0,23.0,15.0,58.0,PM10,SEDANG
77,2010-03-19,63.0,10.0,44.0,36.0,18.0,63.0,PM10,SEDANG
78,2010-03-20,54.0,11.0,29.0,66.0,19.0,66.0,O3,SEDANG
79,2010-03-21,52.0,7.0,33.0,31.0,16.0,52.0,PM10,SEDANG
80,2010-03-22,37.0,5.0,22.0,15.0,10.0,37.0,PM10,BAIK
81,2010-03-23,52.0,9.0,44.0,42.0,29.0,52.0,PM10,SEDANG
82,2010-03-24,53.5,7.0,41.0,99.0,29.0,99.0,O3,SEDANG
83,2010-03-25,55.0,9.0,33.0,46.0,20.0,55.0,PM10,SEDANG
84,2010-03-26,48.0,4.0,45.0,57.0,29.0,57.0,O3,SEDANG
85,2010-03-27,61.0,18.0,41.0,59.0,16.0,61.0,PM10,SEDANG
86,2010-03-28,56.0,4.0,44.0,45.0,13.0,56.0,PM10,SEDANG
87,2010-03-29,50.0,2.0,34.0,27.0,25.0,50.0,PM10,BAIK
88,2010-03-30,44.0,6.0,33.0,42.25,12.0,44.0,PM10,BAIK
89,2010-03-31,58.0,5.0,57.0,57.5,14.0,58.0,PM10,SEDANG
90,2010-04-01,22.0,2.0,16.0,15.0,6.0,22.0,PM10,BAIK
91,2010-04-02,59.0,9.0,38.0,75.0,26.0,75.0,O3,SEDANG
92,2010-04-03,59.0,9.0,32.0,62.0,20.0,62.0,O3,SEDANG
93,2010-04-04,39.0,5.5,29.0,77.6,10.0,39.0,PM10,BAIK
94,2010-04-05,53.0,13.0,27.0,31.0,16.0,53.0,PM10,SEDANG
95,2010-04-06,59.0,18.0,36.0,30.0,19.0,59.0,PM10,SEDANG
96,2010-04-07,56.0,13.0,46.0,51.0,23.0,56.0,PM10,SEDANG
97,2010-04-08,68.5,14.5,33.33333333,52.0,21.5,68.5,pm10,SEDANG
98,2010-04-09,47.0,19.0,32.0,44.0,21.0,47.0,PM10,BAIK
99,2010-04-10,39.0,15.0,44.0,51.0,27.0,51.0,O3,SEDANG
100,2010-04-11,54.0,17.0,47.0,33.0,12.0,54.0,PM10,SEDANG
101,2010-04-12,49.0,24.0,32.0,29.0,13.0,49.0,PM10,BAIK
102,2010-04-13,57.0,17.0,34.0,80.0,24.0,80.0,O3,SEDANG
103,2010-04-14,70.0,16.0,40.0,59.0,21.0,70.0,PM10,SEDANG
104,2010-04-15,70.0,13.0,57.0,41.0,19.0,70.0,PM10,SEDANG
105,2010-04-16,38.0,11.0,30.0,42.0,13.0,42.0,O3,BAIK
106,2010-04-17,38.0,10.0,26.0,28.0,12.0,38.0,PM10,BAIK
107,2010-04-18,36.0,9.0,22.0,27.0,10.0,36.0,PM10,BAIK
108,2010-04-19,36.0,9.5,24.0,20.0,10.0,36.0,PM10,BAIK
109,2010-04-20,39.0,10.0,27.0,24.0,12.0,39.0,PM10,BAIK
110,2010-04-21,41.0,10.5,23.0,30.0,12.0,41.0,PM10,BAIK
111,2010-04-22,37.0,11.0,34.0,25.0,14.0,37.0,PM10,BAIK
112,2010-04-23,29.0,11.5,22.0,23.0,12.0,29.0,PM10,BAIK
113,2010-04-24,31.0,12.0,28.0,36.0,12.0,36.0,O3,BAIK
114,2010-04-25,50.0,12.5,26.0,55.0,29.0,55.0,O3,SEDANG
115,2010-04-26,58.0,13.0,31.0,67.0,29.0,67.0,O3,SEDANG
116,2010-04-27,67.0,13.5,30.0,52.0,18.0,67.0,PM10,SEDANG
117,2010-04-28,56.0,14.0,26.0,30.0,15.0,56.0,PM10,SEDANG
118,2010-04-29,61.0,14.5,34.0,61.0,26.0,61.0,PM10,SEDANG
119,2010-04-30,76.0,15.0,42.0,42.0,24.0,76.0,PM10,SEDANG
120,2010-05-01,25.0,2.0,17.0,15.0,8.0,25.0,PM10,BAIK
121,2010-05-02,63.0,7.0,39.0,41.0,23.0,63.0,PM10,SEDANG
122,2010-05-03,62.0,11.0,35.0,31.0,19.0,62.0,PM10,SEDANG
123,2010-05-04,63.0,7.0,50.0,72.4,22.0,63.0,PM10,SEDANG
124,2010-05-05,53.0,16.0,26.0,35.0,15.0,53.0,PM10,SEDANG
125,2010-05-06,57.0,15.0,39.0,87.0,21.0,87.0,O3,SEDANG
126,2010-05-07,54.0,21.0,30.0,36.0,14.0,54.0,PM10,SEDANG
127,2010-05-08,76.0,16.0,35.666666666666664,56.0,26.0,76.0,PM10,SEDANG
128,2010-05-09,48.0,17.0,26.0,54.0,17.0,54.0,O3,SEDANG
129,2010-05-10,54.0,22.0,39.0,63.0,23.0,63.0,O3,SEDANG
130,2010-05-11,31.0,13.0,27.0,26.0,9.0,31.0,PM10,BAIK
131,2010-05-12,31.0,15.0,34.0,25.0,6.0,34.0,CO,BAIK
132,2010-05-13,52.0,15.0,40.0,65.0,21.0,65.0,O3,SEDANG
133,2010-05-14,59.0,12.0,46.0,69.0,26.0,69.0,O3,SEDANG
134,2010-05-15,52.0,14.0,45.0,92.0,26.0,92.0,O3,SEDANG
135,2010-05-16,56.0,12.0,29.0,65.0,15.0,65.0,O3,SEDANG
136,2010-05-17,55.0,15.0,55.0,32.0,16.0,55.0,PM10,SEDANG
137,2010-05-18,57.0,17.0,45.0,50.0,25.0,57.0,PM10,SEDANG
138,2010-05-19,69.0,14.0,39.0,79.0,18.0,79.0,O3,SEDANG
139,2010-05-20,58.0,14.0,38.0,57.0,21.0,58.0,PM10,SEDANG
140,2010-05-21,53.0,14.0,37.0,60.0,18.0,60.0,O3,SEDANG
141,2010-05-22,63.0,16.0,50.0,54.0,21.0,63.0,PM10,SEDANG
142,2010-05-23,57.0,14.0,28.0,50.0,23.0,57.0,PM10,SEDANG
143,2010-05-24,54.0,15.0,37.0,42.0,21.0,54.0,PM10,SEDANG
144,2010-05-25,56.0,18.0,34.0,43.0,18.0,56.0,PM10,SEDANG
145,2010-05-26,55.0,15.0,41.0,123.0,34.0,123.0,O3,TIDAK SEHAT
146,2010-05-27,58.0,17.0,50.0,113.0,29.0,113.0,O3,TIDAK SEHAT
147,2010-05-28,68.0,21.0,49.0,24.0,25.0,68.0,PM10,SEDANG
148,2010-05-29,54.0,16.0,30.0,28.0,14.0,54.0,PM10,SEDANG
149,2010-05-30,59.0,14.0,41.0,64.0,16.0,64.0,O3,SEDANG
150,2010-05-31,56.0,16.0,33.0,25.0,15.0,56.0,PM10,SEDANG
151,2010-06-01,30.0,3.0,22.0,19.0,11.0,30.0,PM10,BAIK
152,2010-06-02,65.0,8.0,59.0,24.0,15.0,65.0,PM10,SEDANG
153,2010-06-03,72.0,10.0,54.0,43.0,23.0,72.0,PM10,SEDANG
154,2010-06-04,70.0,9.0,52.0,67.2,27.0,70.0,PM10,SEDANG
155,2010-06-05,53.0,19.0,25.0,21.0,11.0,53.0,PM10,SEDANG
