,tanggal,pm10,so2,co,o3,no2,max,critical,categori
851,2012-05-01,55.0,14.0,39.0,93.0,25.0,93.0,O3,SEDANG
852,2012-05-02,56.0,23.0,44.0,85.0,22.0,85.0,O3,SEDANG
853,2012-05-03,40.0,25.0,27.0,64.0,9.714285714285714,64.0,O3,SEDANG
854,2012-05-04,55.0,29.0,33.0,64.0,23.0,64.0,O3,SEDANG
855,2012-05-05,69.0,32.0,26.0,80.0,16.0,80.0,O3,SEDANG
856,2012-05-06,64.0,24.0,38.0,80.0,18.0,80.0,O3,SEDANG
857,2012-05-07,69.0,29.0,36.0,58.0,22.0,69.0,PM10,SEDANG
858,2012-05-08,8.0,25.0,16.0,63.0,11.0,63.0,O3,SEDANG
859,2012-05-09,54.0,29.0,33.0,93.0,26.0,93.0,O3,SEDANG
860,2012-05-10,19.4,25.0,33.0,79.0,18.0,79.0,O3,SEDANG
861,2012-05-11,56.0,29.0,53.0,58.0,20.0,58.0,O3,SEDANG
862,2012-05-12,49.0,39.0,33.0,29.0,10.0,49.0,PM10,BAIK
863,2012-05-13,75.0,40.0,27.0,153.0,15.0,153.0,O3,TIDAK SEHAT
864,2012-05-14,59.0,31.0,30.0,89.0,15.0,89.0,O3,SEDANG
865,2012-05-15,57.0,27.0,37.0,64.0,19.0,64.0,O3,SEDANG
866,2012-05-16,66.0,28.0,32.0,79.0,17.0,79.0,O3,SEDANG
867,2012-05-17,66.0,24.0,43.0,72.0,23.0,72.0,O3,SEDANG
868,2012-05-18,56.0,25.0,24.0,76.0,16.0,76.0,O3,SEDANG
869,2012-05-19,60.0,23.0,32.0,65.0,17.0,65.0,O3,SEDANG
870,2012-05-20,58.0,24.0,13.0,79.0,9.0,79.0,O3,SEDANG
871,2012-05-21,58.0,23.0,34.0,84.0,23.0,84.0,O3,SEDANG
872,2012-05-22,55.0,23.0,31.0,111.0,24.0,111.0,O3,TIDAK SEHAT
873,2012-05-23,70.0,28.0,33.0,99.0,24.0,99.0,O3,SEDANG
874,2012-05-24,62.0,27.0,33.0,68.0,19.0,68.0,O3,SEDANG
875,2012-05-25,59.0,26.0,34.0,51.0,23.0,59.0,PM10,SEDANG
876,2012-05-26,66.0,25.0,28.0,57.0,11.0,66.0,PM10,SEDANG
877,2012-05-27,60.0,25.0,14.0,55.0,15.0,60.0,PM10,SEDANG
878,2012-05-28,63.0,26.0,30.0,61.0,16.0,63.0,PM10,SEDANG
879,2012-05-29,69.0,22.0,35.0,70.0,17.0,70.0,O3,SEDANG
880,2012-05-30,59.0,27.0,32.0,68.0,17.0,68.0,O3,SEDANG
881,2012-05-31,72.0,32.0,35.0,70.0,19.0,72.0,PM10,SEDANG
882,2012-06-01,52.0,28.0,47.0,66.0,11.0,66.0,O3,SEDANG
883,2012-06-02,52.0,26.0,34.0,55.0,13.0,55.0,O3,SEDANG
884,2012-06-03,45.0,51.0,37.0,69.0,10.857142857142858,69.0,O3,SEDANG
885,2012-06-04,58.0,30.0,28.0,72.0,15.0,72.0,O3,SEDANG
886,2012-06-05,60.0,21.0,31.0,83.0,15.0,83.0,O3,SEDANG
887,2012-06-06,70.0,31.0,35.0,67.0,18.0,70.0,PM10,SEDANG
888,2012-06-07,74.0,30.0,35.0,60.0,17.0,74.0,PM10,SEDANG
889,2012-06-08,9.0,25.0,38.0,106.0,19.0,106.0,O3,TIDAK SEHAT
890,2012-06-09,79.0,27.0,31.0,119.0,20.0,119.0,O3,TIDAK SEHAT
891,2012-06-10,32.8,28.0,33.0,79.0,20.0,79.0,O3,SEDANG
892,2012-06-11,45.0,30.0,40.0,104.0,22.0,104.0,O3,TIDAK SEHAT
893,2012-06-12,60.0,34.0,37.0,123.0,21.0,123.0,O3,TIDAK SEHAT
894,2012-06-13,77.0,34.0,34.0,61.0,19.0,77.0,PM10,SEDANG
895,2012-06-14,69.0,28.0,35.0,80.0,20.0,80.0,O3,SEDANG
896,2012-06-15,65.0,28.0,37.0,91.0,23.0,91.0,O3,SEDANG
897,2012-06-16,75.0,34.0,37.0,81.0,19.0,81.0,O3,SEDANG
898,2012-06-17,61.0,25.0,22.0,56.0,15.0,61.0,PM10,SEDANG
899,2012-06-18,55.0,25.0,20.0,57.0,10.0,57.0,O3,SEDANG
900,2012-06-19,63.0,32.0,19.0,42.0,12.0,63.0,PM10,SEDANG
901,2012-06-20,61.0,35.0,25.0,46.0,17.0,61.0,PM10,SEDANG
902,2012-06-21,71.0,30.0,34.0,72.0,19.0,72.0,O3,SEDANG
903,2012-06-22,67.0,24.0,31.0,90.0,14.0,90.0,O3,SEDANG
904,2012-06-23,64.0,31.0,28.0,68.0,10.0,68.0,O3,SEDANG
905,2012-06-24,63.0,24.0,27.0,83.0,16.0,83.0,O3,SEDANG
906,2012-06-25,63.0,27.0,28.0,68.0,13.0,68.0,O3,SEDANG
907,2012-06-26,63.0,27.0,23.0,60.0,13.0,63.0,PM10,SEDANG
908,2012-06-27,69.0,30.0,30.0,74.0,29.0,74.0,O3,SEDANG
909,2012-06-28,71.0,31.0,35.0,76.0,28.0,76.0,O3,SEDANG
910,2012-06-29,71.0,34.0,32.0,64.0,26.0,71.0,PM10,SEDANG
911,2012-06-30,61.0,29.0,29.0,54.0,16.0,61.0,PM10,SEDANG
912,2012-07-01,56.0,20.0,44.0,63.0,11.0,63.0,O3,SEDANG
913,2012-07-02,53.0,22.0,34.0,72.0,14.0,72.0,O3,SEDANG
914,2012-07-03,53.0,36.0,30.0,93.0,12.0,93.0,O3,SEDANG
915,2012-07-04,45.0,21.0,21.0,68.0,17.0,68.0,O3,SEDANG
916,2012-07-05,47.0,22.0,34.0,82.0,15.0,82.0,O3,SEDANG
917,2012-07-06,51.0,26.0,36.0,75.0,19.0,75.0,O3,SEDANG
918,2012-07-07,75.66666667,24.0,37.66666667,80.0,22.33333333,80.0,o3,SEDANG
919,2012-07-08,6.0,23.0,36.0,102.0,25.0,102.0,O3,TIDAK SEHAT
920,2012-07-09,78.0,26.0,31.0,79.0,21.0,79.0,O3,SEDANG
921,2012-07-10,46.2,26.0,21.0,86.0,15.0,86.0,O3,SEDANG
922,2012-07-11,47.0,33.0,36.0,83.0,28.0,83.0,O3,SEDANG
923,2012-07-12,71.0,5.0,42.0,86.0,19.0,86.0,O3,SEDANG
924,2012-07-13,70.0,27.0,44.0,114.0,30.0,114.0,O3,TIDAK SEHAT
925,2012-07-14,77.0,25.0,41.0,147.0,29.0,147.0,O3,TIDAK SEHAT
926,2012-07-15,72.0,28.0,31.0,70.0,21.0,72.0,PM10,SEDANG
927,2012-07-16,66.0,27.0,37.0,76.0,28.0,76.0,O3,SEDANG
928,2012-07-17,58.0,23.0,32.0,122.0,25.0,122.0,O3,TIDAK SEHAT
929,2012-07-18,65.0,21.0,32.0,98.0,20.0,98.0,O3,SEDANG
930,2012-07-19,89.0,33.0,53.0,94.0,28.0,94.0,O3,SEDANG
931,2012-07-20,64.0,28.0,35.0,77.0,18.0,77.0,O3,SEDANG
932,2012-07-21,61.0,24.0,28.0,86.0,19.0,86.0,O3,SEDANG
933,2012-07-22,58.0,17.0,19.0,87.0,16.0,87.0,O3,SEDANG
934,2012-07-23,65.0,26.0,38.0,111.0,28.0,111.0,O3,TIDAK SEHAT
935,2012-07-24,79.0,28.0,36.0,105.0,26.0,105.0,O3,TIDAK SEHAT
936,2012-07-25,71.0,29.0,34.0,132.0,25.0,132.0,O3,TIDAK SEHAT
937,2012-07-26,89.0,30.0,32.0,108.0,32.0,108.0,O3,TIDAK SEHAT
938,2012-07-27,83.0,40.0,37.0,101.0,29.0,101.0,O3,TIDAK SEHAT
939,2012-07-28,80.0,28.0,36.0,88.0,26.0,88.0,O3,SEDANG
940,2012-07-29,72.0,22.0,24.0,66.0,16.0,72.0,PM10,SEDANG
941,2012-07-30,72.0,21.0,33.0,59.0,19.0,72.0,PM10,SEDANG
942,2012-07-31,70.0,24.0,36.0,81.0,21.0,81.0,O3,SEDANG
943,2012-08-01,36.0,15.0,28.0,71.0,13.0,71.0,O3,SEDANG
944,2012-08-02,53.0,13.0,29.0,72.0,12.0,72.0,O3,SEDANG
945,2012-08-03,29.0,14.0,29.0,77.0,13.0,77.0,O3,SEDANG
946,2012-08-04,50.0,25.0,26.0,74.0,11.0,74.0,O3,SEDANG
947,2012-08-05,78.0,33.0,72.0,75.0,24.0,78.0,PM10,SEDANG
948,2012-08-06,63.0,36.0,37.0,84.0,16.0,84.0,O3,SEDANG
949,2012-08-07,77.33333333,18.0,40.33333333,100.0,27.66666667,100.0,o3,SEDANG
950,2012-08-08,12.0,25.0,34.0,87.0,24.0,87.0,O3,SEDANG
951,2012-08-09,74.0,25.0,27.0,58.0,19.0,74.0,PM10,SEDANG
952,2012-08-10,59.6,27.0,33.0,112.0,20.0,112.0,O3,TIDAK SEHAT
953,2012-08-11,49.0,30.0,34.0,57.0,20.0,57.0,O3,SEDANG
954,2012-08-12,51.0,5.0,26.0,78.0,14.0,78.0,O3,SEDANG
955,2012-08-13,81.0,25.0,37.0,87.0,20.0,87.0,O3,SEDANG
956,2012-08-14,64.0,22.0,33.0,82.0,24.0,82.0,O3,SEDANG
957,2012-08-15,66.0,23.0,29.0,61.0,22.0,66.0,PM10,SEDANG
958,2012-08-16,66.0,27.0,24.0,57.0,15.0,66.0,PM10,SEDANG
959,2012-08-17,67.0,23.0,20.0,67.0,13.0,67.0,PM10,SEDANG
960,2012-08-18,73.0,22.0,25.0,80.0,15.0,80.0,O3,SEDANG
961,2012-08-19,69.0,21.0,27.0,64.0,11.0,69.0,PM10,SEDANG
962,2012-08-20,53.0,19.0,10.0,73.0,14.0,73.0,O3,SEDANG
963,2012-08-21,41.0,23.0,14.0,70.0,10.0,70.0,O3,SEDANG
964,2012-08-22,8.0,21.0,13.0,88.0,16.0,88.0,O3,SEDANG
965,2012-08-23,6.0,22.0,18.0,88.0,13.0,88.0,O3,SEDANG
966,2012-08-24,7.0,29.0,16.0,90.0,15.0,90.0,O3,SEDANG
967,2012-08-25,8.0,23.0,14.0,95.0,16.0,95.0,O3,SEDANG
968,2012-08-26,15.0,24.0,14.0,63.0,11.0,63.0,O3,SEDANG
969,2012-08-27,41.0,23.0,30.0,93.0,21.0,93.0,O3,SEDANG
970,2012-08-28,36.0,45.0,33.0,115.0,20.0,115.0,O3,TIDAK SEHAT
971,2012-08-29,13.0,22.0,33.0,98.0,23.0,98.0,O3,SEDANG
972,2012-08-30,11.0,27.0,30.0,80.0,19.0,80.0,O3,SEDANG
973,2012-08-31,34.0,28.0,27.0,74.0,18.0,74.0,O3,SEDANG
974,2012-09-01,54.0,16.0,32.0,72.0,16.0,72.0,O3,SEDANG
975,2012-09-02,42.0,12.0,37.0,78.0,13.0,78.0,O3,SEDANG
976,2012-09-03,33.0,13.0,27.0,77.0,10.0,77.0,O3,SEDANG
977,2012-09-04,61.0,29.0,51.0,83.0,19.0,83.0,O3,SEDANG
978,2012-09-05,76.0,27.0,53.0,75.0,31.0,76.0,PM10,SEDANG
979,2012-09-06,55.0,22.0,38.0,94.0,24.0,94.0,O3,SEDANG
980,2012-09-07,79.0,12.0,43.0,120.0,33.0,120.0,O3,TIDAK SEHAT
981,2012-09-08,32.0,31.0,32.0,52.0,26.0,52.0,O3,SEDANG
982,2012-09-09,69.0,24.0,18.0,96.0,21.0,96.0,O3,SEDANG
983,2012-09-10,73.0,34.0,33.0,73.0,19.0,73.0,PM10,SEDANG
984,2012-09-11,45.0,26.0,27.0,50.0,15.0,50.0,O3,BAIK
985,2012-09-12,58.0,5.0,38.0,115.0,16.0,115.0,O3,TIDAK SEHAT
986,2012-09-13,70.0,30.0,29.0,67.0,22.0,70.0,PM10,SEDANG
987,2012-09-14,66.0,37.0,28.0,139.0,20.0,139.0,O3,TIDAK SEHAT
988,2012-09-15,78.0,54.0,27.0,144.0,21.0,144.0,O3,TIDAK SEHAT
989,2012-09-16,67.0,43.333333333333336,24.0,112.0,23.0,112.0,O3,TIDAK SEHAT
990,2012-09-17,34.0,32.66666666666667,38.0,75.0,19.0,75.0,O3,SEDANG
991,2012-09-18,11.0,22.0,36.0,88.0,20.0,88.0,O3,SEDANG
992,2012-09-19,6.0,33.0,34.0,69.0,18.0,69.0,O3,SEDANG
993,2012-09-20,6.0,24.0,31.0,76.0,15.0,76.0,O3,SEDANG
994,2012-09-21,6.0,27.0,34.0,89.0,27.0,89.0,O3,SEDANG
995,2012-09-22,75.0,31.0,42.0,70.0,20.0,75.0,PM10,SEDANG
996,2012-09-23,73.0,22.0,21.0,88.0,17.0,88.0,O3,SEDANG
997,2012-09-24,63.0,26.0,34.0,76.0,20.0,76.0,O3,SEDANG
998,2012-09-25,69.0,26.0,37.0,74.0,20.0,74.0,O3,SEDANG
999,2012-09-26,75.0,31.0,35.0,86.0,22.0,86.0,O3,SEDANG
1000,2012-09-27,63.0,26.0,32.0,97.0,22.0,97.0,O3,SEDANG
1001,2012-09-28,71.0,33.0,31.0,90.0,22.0,90.0,O3,SEDANG
1002,2012-09-29,75.0,38.0,31.0,66.0,21.0,75.0,PM10,SEDANG
1003,2012-09-30,77.0,32.0,30.0,78.0,17.0,78.0,O3,SEDANG
1004,2012-10-01,37.0,16.0,29.0,55.0,11.0,55.0,O3,SEDANG
1005,2012-10-02,42.0,11.0,25.0,87.0,9.0,87.0,O3,SEDANG
1006,2012-10-03,50.0,14.0,41.0,80.0,17.0,80.0,O3,SEDANG
1007,2012-10-04,55.0,29.0,35.0,77.0,16.0,77.0,O3,SEDANG
1008,2012-10-05,72.0,25.0,37.0,80.0,25.0,80.0,O3,SEDANG
1009,2012-10-06,70.0,26.0,36.0,95.0,20.0,95.0,O3,SEDANG
1010,2012-10-07,80.0,23.0,37.0,87.0,25.0,87.0,O3,SEDANG
1011,2012-10-08,33.0,33.0,31.0,54.0,16.0,54.0,O3,SEDANG
1012,2012-10-09,71.0,23.0,35.0,81.0,20.0,81.0,O3,SEDANG
1013,2012-10-10,69.0,30.0,31.0,116.0,22.0,116.0,O3,TIDAK SEHAT
1014,2012-10-11,39.0,30.0,50.0,98.0,25.0,98.0,O3,SEDANG
1015,2012-10-12,60.0,5.0,28.0,104.0,16.0,104.0,O3,TIDAK SEHAT
1016,2012-10-13,79.0,35.0,32.0,52.0,18.0,79.0,PM10,SEDANG
1017,2012-10-14,61.0,27.0,15.0,67.0,10.0,67.0,O3,SEDANG
1018,2012-10-15,71.0,32.0,38.0,64.0,21.0,71.0,PM10,SEDANG
1019,2012-10-16,64.0,29.0,32.0,78.0,17.0,78.0,O3,SEDANG
1020,2012-10-17,71.0,35.0,34.0,63.0,17.0,71.0,PM10,SEDANG
1021,2012-10-18,61.0,29.0,28.0,61.0,15.0,61.0,PM10,SEDANG
1022,2012-10-19,55.0,29.0,32.0,130.0,21.0,130.0,O3,TIDAK SEHAT
1023,2012-10-20,63.0,27.0,45.0,99.0,21.0,99.0,O3,SEDANG
1024,2012-10-21,60.0,29.0,24.0,64.0,11.0,64.0,O3,SEDANG
1025,2012-10-22,47.0,25.0,29.0,77.0,18.0,77.0,O3,SEDANG
1026,2012-10-23,63.0,30.0,33.0,92.0,23.0,92.0,O3,SEDANG
1027,2012-10-24,66.0,33.0,30.0,101.0,19.0,101.0,O3,TIDAK SEHAT
1028,2012-10-25,65.0,28.0,30.0,88.0,21.0,88.0,O3,SEDANG
1029,2012-10-26,57.0,24.0,32.0,69.0,17.0,69.0,O3,SEDANG
1030,2012-10-27,55.0,24.0,21.0,84.0,13.0,84.0,O3,SEDANG
1031,2012-10-28,53.0,22.0,42.0,69.0,14.0,69.0,O3,SEDANG
1032,2012-10-29,56.0,28.0,36.0,58.0,16.0,58.0,O3,SEDANG
1033,2012-10-30,46.0,29.0,29.0,65.0,14.0,65.0,O3,SEDANG
1034,2012-10-31,50.0,31.0,35.0,88.0,21.0,88.0,O3,SEDANG
1035,2012-11-01,36.0,16.0,31.0,58.0,12.0,58.0,O3,SEDANG
1036,2012-11-02,54.0,13.0,46.0,78.0,13.0,78.0,O3,SEDANG
1037,2012-11-03,35.0,12.0,23.0,84.0,11.0,84.0,O3,SEDANG
1038,2012-11-04,74.0,36.0,46.0,64.0,24.0,74.0,PM10,SEDANG
1039,2012-11-05,61.0,25.0,38.0,89.0,26.0,89.0,O3,SEDANG
1040,2012-11-06,89.0,21.0,53.0,84.0,34.0,89.0,PM10,SEDANG
1041,2012-11-07,80.0,27.0,33.0,76.0,27.0,80.0,PM10,SEDANG
1042,2012-11-08,74.0,32.0,22.0,74.0,17.0,74.0,PM10,SEDANG
1043,2012-11-09,70.0,27.0,34.0,137.0,26.0,137.0,O3,TIDAK SEHAT
1044,2012-11-10,74.0,27.0,31.0,120.0,19.0,120.0,O3,TIDAK SEHAT
1045,2012-11-11,24.0,25.0,23.0,71.0,22.0,71.0,O3,SEDANG
1046,2012-11-12,68.0,5.0,30.0,77.0,19.0,77.0,O3,SEDANG
1047,2012-11-13,19.0,26.0,37.0,88.0,18.0,88.0,O3,SEDANG
1048,2012-11-14,43.0,34.0,83.0,65.0,23.0,83.0,CO,SEDANG
1049,2012-11-15,30.0,30.0,44.0,119.0,16.0,119.0,O3,TIDAK SEHAT
1050,2012-11-16,51.0,29.0,38.0,73.0,18.0,73.0,O3,SEDANG
1051,2012-11-17,32.0,30.0,29.0,70.0,15.0,70.0,O3,SEDANG
1052,2012-11-18,25.0,23.0,17.0,57.0,11.0,57.0,O3,SEDANG
1053,2012-11-19,26.0,30.0,35.0,60.0,16.0,60.0,O3,SEDANG
1054,2012-11-20,24.0,30.0,43.0,93.0,19.0,93.0,O3,SEDANG
1055,2012-11-21,28.0,32.0,42.0,96.0,27.0,96.0,O3,SEDANG
1056,2012-11-22,19.0,30.0,34.0,91.0,18.0,91.0,O3,SEDANG
1057,2012-11-23,24.0,33.0,35.0,72.0,22.0,72.0,O3,SEDANG
1058,2012-11-24,11.0,30.0,31.0,84.0,18.0,84.0,O3,SEDANG
1059,2012-11-25,27.0,36.0,38.0,55.0,18.0,55.0,O3,SEDANG
1060,2012-11-26,21.0,34.0,40.0,36.0,18.0,40.0,CO,BAIK
1061,2012-11-27,20.0,37.0,52.0,48.0,18.0,52.0,CO,SEDANG
1062,2012-11-28,19.0,30.0,29.0,47.0,16.0,47.0,O3,BAIK
1063,2012-11-29,65.0,32.0,39.0,97.0,21.0,97.0,O3,SEDANG
1064,2012-11-30,76.0,30.0,56.0,94.0,19.0,94.0,O3,SEDANG
1065,2012-12-01,42.0,20.0,37.0,48.0,9.0,48.0,O3,BAIK
1066,2012-12-02,37.0,11.0,20.0,69.0,8.0,69.0,O3,SEDANG
1067,2012-12-03,45.0,13.0,23.0,86.0,11.0,86.0,O3,SEDANG
1068,2012-12-04,58.0,27.0,36.0,77.0,17.0,77.0,O3,SEDANG
1069,2012-12-05,64.0,27.0,33.0,143.0,16.0,143.0,O3,TIDAK SEHAT
1070,2012-12-06,67.0,30.0,46.0,64.0,22.0,67.0,PM10,SEDANG
1071,2012-12-07,63.0,31.0,33.0,95.0,20.0,95.0,O3,SEDANG
1072,2012-12-08,73.0,27.0,22.0,86.0,26.0,86.0,O3,SEDANG
1073,2012-12-09,73.0,31.0,49.0,101.0,20.0,101.0,O3,TIDAK SEHAT
1074,2012-12-10,69.0,31.0,29.0,93.0,20.0,93.0,O3,SEDANG
1075,2012-12-11,18.0,27.0,35.0,114.0,21.0,114.0,O3,TIDAK SEHAT
1076,2012-12-12,70.0,5.0,29.0,75.0,17.0,75.0,O3,SEDANG
1077,2012-12-13,59.0,5.0,28.0,71.0,20.0,71.0,O3,SEDANG
1078,2012-12-14,68.0,3.0,42.0,92.0,30.0,92.0,O3,SEDANG
1079,2012-12-15,63.0,2.0,54.0,64.0,14.0,64.0,O3,SEDANG
1080,2012-12-16,59.0,5.0,18.0,68.0,10.0,68.0,O3,SEDANG
1081,2012-12-17,53.0,5.0,30.0,68.0,20.0,68.0,O3,SEDANG
1082,2012-12-18,49.0,6.0,39.0,62.0,19.0,62.0,O3,SEDANG
1083,2012-12-19,65.0,6.0,49.0,62.0,18.0,65.0,PM10,SEDANG
1084,2012-12-20,60.0,6.0,33.0,76.0,20.0,76.0,O3,SEDANG
1085,2012-12-21,55.0,4.0,29.0,70.0,14.0,70.0,O3,SEDANG
1086,2012-12-22,51.0,2.0,38.0,68.0,12.0,68.0,O3,SEDANG
1087,2012-12-23,43.0,4.0,33.0,57.0,11.0,57.0,O3,SEDANG
1088,2012-12-24,53.0,7.0,21.0,47.0,13.0,53.0,PM10,SEDANG
1089,2012-12-25,45.0,4.0,20.0,41.0,10.0,45.0,PM10,BAIK
1090,2012-12-26,38.0,3.0,31.0,54.0,13.0,54.0,O3,SEDANG
1091,2012-12-27,45.0,5.0,30.0,33.0,10.0,45.0,PM10,BAIK
1092,2012-12-28,47.0,4.0,23.0,39.0,11.0,47.0,PM10,BAIK
1093,2012-12-29,40.0,4.0,26.0,39.0,14.0,40.0,PM10,BAIK
1094,2012-12-30,38.0,3.0,20.0,37.0,10.0,38.0,PM10,BAIK
1095,2012-12-31,31.0,2.0,15.0,28.0,7.0,31.0,PM10,BAIK
1096,2013-01-01,75.0,4.0,23.0,51.0,9.0,75.0,PM10,SEDANG
1097,2013-01-02,66.0,3.0,32.0,49.0,15.0,66.0,PM10,SEDANG
1098,2013-01-03,48.0,2.0,24.0,62.0,9.0,62.0,O3,SEDANG
1099,2013-01-04,56.0,2.0,40.0,69.0,22.0,69.0,O3,SEDANG
1100,2013-01-05,70.0,2.0,16.0,62.0,12.0,70.0,PM10,SEDANG
1101,2013-01-06,50.0,2.0,20.0,24.0,11.0,50.0,PM10,BAIK
1102,2013-01-07,55.0,7.0,31.0,35.0,20.0,55.0,PM10,SEDANG
1103,2013-01-08,70.0,10.0,32.0,74.0,17.0,74.0,O3,SEDANG
1104,2013-01-09,61.0,9.0,15.0,67.0,13.0,67.0,O3,SEDANG
1105,2013-01-10,85.0,10.0,33.0,79.0,23.0,85.0,PM10,SEDANG
1106,2013-01-11,69.0,8.0,34.0,84.0,22.0,84.0,O3,SEDANG
1107,2013-01-12,61.0,6.0,19.0,83.0,16.0,83.0,O3,SEDANG
1108,2013-01-13,46.52380952,3.476190476,36.19047619,34.52380952,10.0952381,46.52380952,pm10,BAIK
1109,2013-01-14,47.57142857,3.428571429,37.57142857,34.57142857,10.28571429,47.57142857,pm10,BAIK
1110,2013-01-15,48.61904762,3.380952381,38.95238095,34.61904762,10.47619048,48.61904762,pm10,BAIK
1111,2013-01-16,49.66666667,3.333333333,40.33333333,34.66666667,10.66666667,49.66666667,pm10,BAIK
1112,2013-01-17,50.71428571,3.285714286,41.71428571,34.71428571,10.85714286,50.71428571,pm10,SEDANG
1113,2013-01-18,51.76190476,3.238095238,43.0952381,34.76190476,11.04761905,51.76190476,pm10,SEDANG
1114,2013-01-19,52.80952381,3.19047619,44.47619048,34.80952381,11.23809524,52.80952381,pm10,SEDANG
1115,2013-01-20,53.85714286,3.142857143,45.85714286,34.85714286,11.42857143,53.85714286,pm10,SEDANG
1116,2013-01-21,54.9047619,3.095238095,47.23809524,34.9047619,11.61904762,54.9047619,pm10,SEDANG
1117,2013-01-22,55.95238095,3.047619048,48.61904762,34.95238095,11.80952381,55.95238095,pm10,SEDANG
1118,2013-01-23,57.0,3.0,50.0,35.0,12.0,57.0,PM10,SEDANG
1119,2013-01-24,40.0,2.0,28.0,32.0,10.0,40.0,PM10,BAIK
1120,2013-01-25,51.0,3.0,34.0,34.0,15.0,51.0,PM10,SEDANG
1121,2013-01-26,62.0,3.0,45.0,44.0,15.0,62.0,PM10,SEDANG
1122,2013-01-27,52.0,1.0,25.0,48.0,11.0,52.0,PM10,SEDANG
1123,2013-01-28,41.0,2.0,29.0,33.0,14.0,41.0,PM10,BAIK
1124,2013-01-29,69.0,4.0,32.0,36.0,15.0,69.0,PM10,SEDANG
1125,2013-01-30,53.0,2.0,29.0,37.0,14.0,53.0,PM10,SEDANG
1126,2013-01-31,70.0,2.0,34.0,59.0,17.0,70.0,PM10,SEDANG
1127,2013-02-01,35.0,4.0,21.0,34.0,8.0,35.0,PM10,BAIK
1128,2013-02-02,82.0,2.0,23.0,44.0,14.0,82.0,PM10,SEDANG
1129,2013-02-03,52.0,2.0,26.0,75.0,12.0,75.0,O3,SEDANG
1130,2013-02-04,66.0,2.0,34.0,56.0,23.0,66.0,PM10,SEDANG
1131,2013-02-05,56.0,2.0,33.0,48.0,19.0,56.0,PM10,SEDANG
1132,2013-02-06,56.0,3.0,33.0,4.0,14.0,56.0,PM10,SEDANG
1133,2013-02-07,67.0,8.0,43.0,58.0,21.0,67.0,PM10,SEDANG
1134,2013-02-08,56.0,6.0,31.0,42.0,15.0,56.0,PM10,SEDANG
1135,2013-02-09,62.0,9.0,28.0,77.0,15.0,77.0,O3,SEDANG
1136,2013-02-10,78.0,9.0,31.0,81.0,21.0,81.0,O3,SEDANG
1137,2013-02-11,59.0,8.0,44.0,74.0,23.0,74.0,O3,SEDANG
1138,2013-02-12,72.0,7.0,32.0,93.0,19.0,93.0,O3,SEDANG
1139,2013-02-13,51.0,2.0,31.0,102.0,19.0,102.0,O3,TIDAK SEHAT
1140,2013-02-14,64.0,2.0,38.0,73.0,21.0,73.0,O3,SEDANG
1141,2013-02-15,59.0,3.0,34.0,80.0,14.0,80.0,O3,SEDANG
1142,2013-02-16,49.0,2.0,21.0,61.0,11.0,61.0,O3,SEDANG
1143,2013-02-17,33.0,1.0,20.0,54.0,10.0,54.0,O3,SEDANG
1144,2013-02-18,45.0,2.0,33.0,45.0,15.0,45.0,PM10,BAIK
1145,2013-02-19,44.0,2.0,32.0,39.0,12.0,44.0,PM10,BAIK
1146,2013-02-20,58.0,3.0,29.0,51.0,13.0,58.0,PM10,SEDANG
1147,2013-02-21,54.0,2.0,42.0,53.0,16.0,54.0,PM10,SEDANG
1148,2013-02-22,50.0,2.0,25.0,43.0,11.0,50.0,PM10,BAIK
1149,2013-02-23,49.0,1.0,25.0,68.0,12.0,68.0,O3,SEDANG
1150,2013-02-24,59.0,2.0,28.0,64.0,13.0,64.0,O3,SEDANG
1151,2013-02-25,52.0,2.0,24.0,65.0,15.0,65.0,O3,SEDANG
1152,2013-02-26,54.0,1.0,31.0,75.0,14.0,75.0,O3,SEDANG
1153,2013-02-27,53.0,1.0,33.0,69.0,17.0,69.0,O3,SEDANG
1154,2013-02-28,47.0,2.0,21.0,54.0,7.0,54.0,O3,SEDANG
1155,2013-03-01,36.04761905,3.952380952,22.38095238,34.04761905,8.19047619,36.04761905,pm10,BAIK
1156,2013-03-02,64.0,2.0,63.0,43.0,22.0,64.0,PM10,SEDANG
1157,2013-03-03,55.0,2.0,23.0,79.0,13.0,79.0,O3,SEDANG
1158,2013-03-04,71.0,2.0,43.0,111.0,27.0,111.0,O3,TIDAK SEHAT
1159,2013-03-05,71.0,3.0,27.0,54.0,12.0,71.0,PM10,SEDANG
1160,2013-03-06,53.0,3.0,28.0,4.0,13.0,53.0,PM10,SEDANG
1161,2013-03-07,55.0,5.0,43.0,41.0,23.0,55.0,PM10,SEDANG
1162,2013-03-08,57.0,8.0,30.0,49.0,16.0,57.0,PM10,SEDANG
1163,2013-03-09,69.0,7.0,35.0,74.0,24.0,74.0,O3,SEDANG
1164,2013-03-10,71.0,8.0,33.0,78.0,24.0,78.0,O3,SEDANG
1165,2013-03-11,62.5,9.0,28.0,76.0,13.0,76.0,O3,SEDANG
1166,2013-03-12,75.0,5.0,37.0,106.0,18.0,106.0,O3,TIDAK SEHAT
1167,2013-03-13,62.28571429,4.0,33.71428571,66.14285714,12.14285714,66.14285714,o3,SEDANG
1168,2013-03-14,61.85714286,4.0,32.14285714,69.42857143,11.42857143,69.42857143,o3,SEDANG
