,index,tanggal,pm10,so2,co,o3,no2,max,critical,categori
96,1105,10/1/2013,43.38095238,3.619047619,32.04761905,34.38095238,9.523809524,43.38095238,pm10,TIDAK ADA DATA
97,1104,9/1/2013,42.33333333,3.666666667,30.66666667,34.33333333,9.333333333,42.33333333,pm10,TIDAK ADA DATA
98,1103,8/1/2013,41.28571429,3.714285714,29.28571429,34.28571429,9.142857143,41.28571429,pm10,TIDAK ADA DATA
99,1113,18/01/2013,51.76190476,3.238095238,43.0952381,34.76190476,11.04761905,51.76190476,pm10,TIDAK ADA DATA
100,3649,29/12/2019,52,24,25.66666667,45,9.666666667,52,pm10,TIDAK ADA DATA
101,2924,3/1/2018,19,19.5,16,18,1.5,19.5,so2,TIDAK ADA DATA
102,2959,7/2/2018,25.33333333,21.66666667,36,30.33333333,4.333333333,36,co,TIDAK ADA DATA
103,2960,8/2/2018,26.66666667,22.33333333,37,29.66666667,3.666666667,37,co,TIDAK ADA DATA
104,3090,18/06/2018,50,6.2,8.2,24.2,2,50,pm10,TIDAK ADA DATA
105,3091,19/06/2018,47,5.8,8.4,21.8,2,47,pm10,TIDAK ADA DATA
106,3092,20/06/2018,44,5.4,8.6,19.4,2,44,pm10,TIDAK ADA DATA
107,3109,7/7/2018,48,7.333333333,15,30,5.19047619,48,pm10,TIDAK ADA DATA
108,3110,8/7/2018,41,6.666666667,15,40,5.380952381,41,pm10,TIDAK ADA DATA
109,3234,9/11/2018,53.5,10.5,27.5,34,4,53.5,pm10,TIDAK ADA DATA
